Para,A-star euclides,A-star manhattan,Bidirectional BFS,Iterations
"((49, 10), (1039, 1066))",6.858233160001691,5.052268470003037,2.3820383200014477,10
"((145, 797), (987, 102))",5.2988313600013495,2.851053720002528,2.28187872999697,10
"((475, 662), (721, 316))",0.6844703899987508,0.36424930999637584,0.7815034799976275,10
