Analizowana para,A-star,Dijkstra,Bi-dijkstra
"((0.0, 567.841675), (9861.808594, 8132.217773))",120904,174583,147119
"((2246.491943, 151.567459), (8811.871094, 9940.361328))",164471,174908,146548
"((2432.748047, 2729.907471), (4266.65918, 3150.174316))",5602,31831,27680
