Analizowana para,A-star,Dijkstra,Bi-dijkstra
"((0.0, 5419.459473), (10000.0, 1126.836182))",97303,174667,97477
"((9843.358398, 21.249575), (6990.748535, 9969.797852))",85414,169078,110103
"((5426.359863, 4513.789062), (5402.969238, 6501.974609))",7534,38787,28084
