Para,JPS,A-str,Iterations
"((49, 10), (1039, 1066))",6.790949589997763,3.0836463199986612,10
"((145, 797), (987, 102))",4.227583359996788,2.035313339997083,10
"((475, 662), (721, 316))",0.7016155399964191,0.30922599000041373,10
